EMPRESA,NOMBRE COMERCIAL DEL PRODUCTO,NUMERO DE REGULACION,FORMA FARMACEUTICA O FISICA,,
ABASTECEDORES PECUARIOS LOZANO, S.A. DE C.V.,JUGUETE DE CARNAZA PARA PERRO NATURALES,A-0730-101,CROQUETA,
ABASTECEDORES PECUARIOS LOZANO, S.A. DE C.V.,JUGUETE DE CARNAZA PARA PERRO BASTEADOS,A-0730-102,CROQUETA,
ABASTECEDORES PECUARIOS LOZANO, S.A. DE C.V.,JUGUETE DE CARNAZA PARA PERRO EXTRUIDO,A-0730-103,CROQUETA,
ACH FOODS MEXICO, S. DE R.L. DE C.V.,QUANTUM TM PHYTASE 2500-XT,A-0719-004,GRANULAR,
ACH FOODS MEXICO, S. DE R.L. DE C.V.,ECONASE XT 25,A-0719-005,GRANULAR,
ACH FOODS MEXICO, S. DE R.L. DE C.V.,FINASE EC 5 P,A-0719-008,POLVO,
ACH FOODS MEXICO, S. DE R.L. DE C.V.,FINASE EC 5 L,A-0719-009,LIQUIDO,
ACH FOODS MEXICO, S. DE R.L. DE C.V.,FINASE EC 40 P,A-0719-010,POLVO,
ACH FOODS MEXICO, S. DE R.L. DE C.V.,QUANTUM BLUE 5 G,A-0719-011,POLVO,
ACH FOODS MEXICO, S. DE R.L. DE C.V.,QUANTUM BLUE 5 L,A-0719-012,LIQUIDO,
ACH FOODS MEXICO, S. DE R.L. DE C.V.,VISTABET 96%,A-0719-014,LIQUIDO,
ACH FOODS MEXICO, S. DE R.L. DE C.V.,VISTABET LIQUID,A-0719-015,LIQUIDO,
ADISSEO DE MEXICO, S. A. DE C. V.,ROVABIO EXCEL AP,A-0083-011,POLVO,
ADISSEO DE MEXICO, S. A. DE C. V.,ROVABIO EXCEL AP T-FLEX,A-0083-012,POLVO,
ADISSEO DE MEXICO, S. A. DE C. V.,ROVABIO EXCEL LC2,A-0083-013,LIQUIDO,
ADITIVOS Y PREMEZCLAS ESPECIALES, S.A. DE C.V.,RAM ACID,A-1522-002,POLVO,
ADITIVOS Y PREMEZCLAS ESPECIALES, S.A. DE C.V.,RAM MOLD,A-1522-003,POLVO,
ADITIVOS Y PREMEZCLAS ESPECIALES, S.A. DE C.V.,RAM TOX ,A-1522-017,POLVO,
ADITIVOS Y PREMEZCLAS ESPECIALES, S.A. DE C.V.,RAM TOX NP,A-1522-021,POLVO,
ADITIVOS Y PREMEZCLAS ESPECIALES, S.A. DE C.V.,RAM TOX NR,A-1522-022,POLVO,
ADITIVOS Y PREMEZCLAS ESPECIALES, S.A. DE C.V.,DETOX,A-1522-023,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,BIOFLAVOR F 22013,A-1188-001,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,BIOFLAVOR F2205,A-1188-002,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,BIOFLAVOR F 21005,A-1188-003,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR LC 647,A-1188-004,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR LC 657,A-1188-005,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR F19021,A-1188-006,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR C2739,A-1188-007,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR DD 635 AQ,A-1188-008,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR DD 664 AQ,A-1188-009,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR C2737,A-1188-010,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR C11031,A-1188-011,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,ENTICER LD 601,A-1188-012,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,BIOFLAVOR C 12004,A-1188-013,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR B 29039,A-1188-014,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,BIOFLAVOR B29031,A-1188-020,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,ENTICER,A-1188-021,POLVO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR C13001,A-1188-025,LIQUIDO,
AFB FLAVORINGS MEXICO, S. DE R.L. DE C.V.,OPTIMIZOR C28726,A-1188-026,POLVO,
AGRAQUEST DE MEXICO, S.A. DE C.V.,SYMPATIC,A-0937-001,POLVO,
AGRAQUEST DE MEXICO, S.A. DE C.V.,SYMPATIC 2X,A-0937-002,POLVO,
AGRIBIOTECH MEXICO, S. A. DE C. V.,SILAGE INOCULANT ABT GR,A-7514-003,POLVO,
AGRIBIOTECH MEXICO, S. A. DE C. V.,LACT-A-PRO,A-7514-008,GRANULAR,
AGRIBIOTECH MEXICO, S. A. DE C. V.,MICRO SIL WS,A-7514-011,POLVO,
AGRIBIOTECH MEXICO, S. A. DE C. V.,MICRO SIL CONCENTRATE,A-7514-012,POLVO,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,CRIA CERDINA CONCNETRADA PT,A-0207-002,HARINA,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,PELEA STARTINA PLUS 1,A-0207-004,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,CRIA VAQUILLA,A-0207-013,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,LAYINA,A-0207-018,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,FINALIZADOR CERDOS,A-0207-020,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,POTRINA,A-0207-021,PELLETS/GRANULOS,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,CONEJINA N,A-0207-022,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,CRIA CERDINA COMPLETA PT,A-0207-026,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,DESARROLLO CERDOS,A-0207-028,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,LECHONES,A-0207-029,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,CONEJOS,A-0207-033,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,INICIARINA E.R.,A-0207-035,MIGAJA,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,POLLITOS,A-0207-037,MIGAJA,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,ENGORDINA E.R.,A-0207-038,MIGAJA Y/O PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,POLLOS,A-0207-040,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,GALLINAS,A-0207-042,MIGAJA,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,POLLITAS,A-0207-044,MIGAJA,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,JAMONINA PT,A-0207-049,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,FORMULAB CHOW 508,A-0207-050,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,DESARROLLINA PT,A-0207-058,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,VAQUILLA,A-0207-061,PELLET,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,PORQUINA ETIQUETA VERDE,A-0207-063,HARINA,
AGRIBRANDS PURINA MEXICO, S. DE R.L. DE C. V. ,PORQUINA PT,A-0207-081,PELLETS/GRANOS,
